ID,BuildingType,NumFloors,LandUse,latitude,longitude
36817,,2.0,01,40.68623453340982,-73.94592185386311
36818,,2.0,01,40.68622792228342,-73.9459792422226
36819,,2.0,01,40.68622103010932,-73.94603906689872
36820,,2.0,01,40.68621323534534,-73.94610671703911
36821,,2.0,01,40.686204918745965,-73.94617890512853
36822,,2.0,01,40.68619680079934,-73.94624937609278
36823,,2.0,01,40.686188542175096,-73.94632105204204
36824,,2.0,01,40.68618010215817,-73.94639430628261
36825,,0.0,11,40.68617574645884,-73.94643188186858
36826,,3.0,02,40.686171746145774,-73.94646684046486
36827,,3.0,02,40.686163730371085,-73.94653640269462
36828,,3.0,02,40.6861556369854,-73.94660666269584
36829,,3.0,02,40.686147309689446,-73.94667893844809
36830,,3.0,02,40.68613916437808,-73.9467496317746
36831,,3.0,02,40.686131105253104,-73.94681958283472
36832,,3.0,02,40.68612279956794,-73.94689166684068
36833,,3.0,02,40.686114677111206,-73.94696216861728
36834,,3.0,01,40.68610653458804,-73.94703284073283
36835,,3.0,02,40.68609812223296,-73.94710584832889
36836,,3.0,02,40.68602030776984,-73.94717821166743
36837,,3.0,02,40.68615943483317,-73.9472058045294
36838,,3.0,04,40.68642362092403,-73.94702436678976
36839,,3.0,08,40.686587858457806,-73.94506487219655
36840,,3.0,02,40.68632030693806,-73.94423847678615
36841,,2.0,01,40.68637606284379,-73.9442494819139
36842,,2.0,01,40.68642969816026,-73.94426004519478
36843,,2.0,01,40.68648342257938,-73.94427062554622
36844,,0.0,11,40.68653020649714,-73.94418332270308
36845,,4.0,04,40.686547270288465,-73.94426486524159
36846,,2.0,08,40.68671155740563,-73.9442084420495
36847,,3.0,04,40.68671032943403,-73.94438606846245
36848,,4.0,02,40.68672514905902,-73.94404302003322
36849,,4.0,02,40.68674069354803,-73.94394356375095
36850,,4.0,02,40.686763777631924,-73.94379550440752
36851,,4.0,02,40.686786288865044,-73.94362800807504
36852,,4.0,02,40.68680779101958,-73.94351719187473
36853,,0.0,11,40.686669018499224,-73.9434879809993
36854,,4.0,02,40.68680974848886,-73.94342445215452
36855,,3.0,02,40.68682033188292,-73.94333483123384
36856,,4.0,02,40.68683052817963,-73.94324701743848
36857,,4.0,02,40.68684067077692,-73.94315966274907
36858,,2.0,01,40.686848280630834,-73.9430941359665
36859,,2.0,01,40.686911863393874,-73.94254652605589
36860,,2.0,01,40.68691880459496,-73.94248674269434
36861,,2.0,04,40.686925539856986,-73.94242874033863
36862,,2.0,05,40.68693907735895,-73.94231213889829
36863,,3.0,04,40.686953008370814,-73.94219215521906
36864,,3.0,04,40.686960674270125,-73.94212612581131
36865,,1.0,07,40.68697826368837,-73.941974207367
36866,,3.0,05,40.68678637845406,-73.94200380134329
36867,,2.0,01,40.68666443354091,-73.94183312948346
36868,,2.0,01,40.686655748919975,-73.94190856534874
36869,,2.0,02,40.68664703857812,-73.94198365320506
36870,,2.0,01,40.68663872795681,-73.9420552935322
