ID,neighbourhood,address,latitude,longitude,type,price,zipcode
317,Bedford Stuyvesant,"1499 Bedford Ave, Brooklyn",,,Studio,3100,11216
318,Bedford Stuyvesant,"905 Sterling Pl, Brooklyn",,,Studio,2295,11216
319,Bedford Stuyvesant,"1430 Fulton St, Brooklyn",,,Studio,2599,11216
320,Bedford Stuyvesant,"422 1/2 Gates Ave, Brooklyn",,,Studio,3050,11216
321,Bedford Stuyvesant,"464 Greene Ave, Brooklyn",,,Studio,2599,11216
322,Bedford Stuyvesant,"691 Marcy Ave, Brooklyn",,,Studio,2595,11216
323,Bedford Stuyvesant,"1545 Fulton St, Brooklyn",,,Studio,2400,11216
324,Bedford Stuyvesant,"1184 Dean St, Brooklyn",,,Studio,2100,11216
325,Bedford Stuyvesant,"1236 Atlantic Ave, Brooklyn",,,Studio,2799,11216
326,Bedford Stuyvesant,"1467 Bedford Ave, Brooklyn",,,Studio,2450,11216
327,Bedford Stuyvesant,"988 Bergen St, Brooklyn",,,Studio,1950,11216
328,Bedford Stuyvesant,"78 Herkimer St, Brooklyn",,,Studio,2400,11216
329,Bedford Stuyvesant,"103 Jefferson Ave, Brooklyn",,,1b,3295,11216
330,Bedford Stuyvesant,"1284 Pacific St, Brooklyn",,,1b,2890,11216
331,Bedford Stuyvesant,"179 Putnam Ave, Brooklyn",,,1b,2300,11216
332,Bedford Stuyvesant,"746 Lincoln Pl, Brooklyn",,,1b,2800,11216
333,Bedford Stuyvesant,"11 Herkimer St, Brooklyn",,,1b,3550,11216
334,Bedford Stuyvesant,"220 Lexington Ave, Brooklyn",,,1b,3100,11216
335,Bedford Stuyvesant,"57 Herkimer St, Brooklyn",,,1b,2345,11216
336,Bedford Stuyvesant,"1175 Fulton St, Brooklyn",,,1b,3350,11216
337,Bedford Stuyvesant,"988 Bergen St, Brooklyn",,,1b,2275,11216
338,Bedford Stuyvesant,"1047 Bedford Ave, Brooklyn",,,1b,3100,11216
339,Bedford Stuyvesant,"420 Gates Ave, Brooklyn",,,1b,4245,11216
340,Bedford Stuyvesant,"1556 Fulton St, Brooklyn",,,1b,2650,11216
341,Bedford Stuyvesant,"1198 Bedford Ave, Brooklyn",,,1b,2750,11216
342,Bedford Stuyvesant,"1356 Pacific St, Brooklyn",,,1b,2599,11216
343,Bedford Stuyvesant,"130 Macon St, Brooklyn",,,1b,3600,11216
344,Bedford Stuyvesant,"1183 Bedford Ave, Brooklyn",,,1b,3350,11216
345,Bedford Stuyvesant,"619 Throop Ave, Brooklyn",,,1b,3350,11216
346,Bedford Stuyvesant,"1076 Dean St, Brooklyn",,,1b,2400,11216
347,Bedford Stuyvesant,"772 Saint Johns Pl, Brooklyn",,,1b,2999,11216
348,Bedford Stuyvesant,"57 Herkimer St, Brooklyn",,,1b,2299,11216
349,Bedford Stuyvesant,"948 Bergen St, Brooklyn",,,1b,2750,11216
350,Bedford Stuyvesant,"649 Prospect Pl, Brooklyn",,,1b,2650,11216
351,Bedford Stuyvesant,"142 Macon St, Brooklyn",,,1b,2650,11216
352,Bedford Stuyvesant,"24 Rogers Ave, Brooklyn",,,1b,2412,11216
353,Bedford Stuyvesant,"189 Jefferson Ave, Brooklyn",,,1b,3200,11216
354,Bedford Stuyvesant,"1516 Fulton St, Brooklyn",,,1b,2799,11216
355,Bedford Stuyvesant,"93 Halsey St, Brooklyn",,,1b,2895,11216
356,Bedford Stuyvesant,"745 Lincoln Pl, Brooklyn",,,1b,2700,11216
357,Bedford Stuyvesant,"341 Eastern Pkwy, Brooklyn",,,1b,3667,11216
358,Bedford Stuyvesant,"1185 Dean St, Brooklyn",,,1b,3250,11216
359,Bedford Stuyvesant,"350 Greene Ave, Brooklyn",,,1b,3100,11216
360,Bedford Stuyvesant,"30 Rogers Ave, Brooklyn",,,1b,2300,11216
361,Bedford Stuyvesant,"814 Saint Johns Pl, Brooklyn",,,1b,2699,11216
362,Bedford Stuyvesant,"647 Prospect Pl, Brooklyn",,,1b,2800,11216
363,Bedford Stuyvesant,"409 Eastern Pkwy, Brooklyn",,,1b,4250,11216
364,Bedford Stuyvesant,"788 Park Pl, Brooklyn",,,1b,2250,11216
365,Bedford Stuyvesant,"152 Macon St, Brooklyn",,,1b,2750,11216
366,Bedford Stuyvesant,"349 Nostrand Ave, Brooklyn",,,1b,2300,11216
367,Bedford Stuyvesant,"6 MacDonough St, Brooklyn",,,1b,2850,11216
368,Bedford Stuyvesant,"652 Lafayette Ave, Brooklyn",,,1b,2900,11216
369,Bedford Stuyvesant,"1214 Dean St, Brooklyn",,,1b,2700,11216
